127.0.0.1, 2016-02-14 14:48:47, GET, /courses/course/cop290/overview, HTTP/1.1, 200, 0.268000
127.0.0.1, 2016-02-14 14:48:49, GET, /courses/course/cop290/assignments, HTTP/1.1, 200, 0.292000
127.0.0.1, 2016-02-14 14:48:50, GET, /courses/course/cop290/assignments, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-14 14:48:53, GET, /courses/course/cop290/resources, HTTP/1.1, 200, 0.092000
127.0.0.1, 2016-02-14 14:48:55, GET, /courses/course/cop290/threads, HTTP/1.1, 200, 0.108000
127.0.0.1, 2016-02-14 14:49:06, GET, /courses/course/cop290/overview, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-02-14 14:49:16, GET, /courses/course/cop290/overview, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-14 14:52:24, GET, /courses/course/cop290/assignments, HTTP/1.1, 200, 0.104000
127.0.0.1, 2016-02-14 14:52:25, GET, /courses/course/cop290/resources, HTTP/1.1, 200, 0.108000
127.0.0.1, 2016-02-14 14:52:26, GET, /courses/course/cop290/threads, HTTP/1.1, 200, 0.076000
127.0.0.1, 2016-02-14 14:52:28, GET, /courses/course/cop290/grades, HTTP/1.1, 200, 0.204000
